DateTime,PairID,PairName,Open,High,Low,Close,Volume,Spread,MA_5,MA_20,Price_Change,High_Low_Range,Return,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower
2023-01-01 00:00:00,1,EUR/USD,1.08103,1.08103,1.08019,1.08054,2651,0.9,,,-0.0004899999999998794,0.0008399999999999519,,,,,,,,
2023-01-01 01:00:00,1,EUR/USD,1.0801,1.08043,1.07974,1.08028,2292,1.0,,,0.00017999999999984695,0.0006900000000000794,-0.00024062043052563986,,,,,,,
2023-01-01 02:00:00,1,EUR/USD,1.08036,1.08158,1.07961,1.08054,1796,1.2,,,0.000180000000000069,0.0019700000000000273,0.00024067834265206756,,,,,,,
2023-01-01 03:00:00,1,EUR/USD,1.08068,1.08126,1.07973,1.08088,4019,1.4,,,0.00019999999999997797,0.0015300000000000313,0.0003146574860717344,,,,,,,
2023-01-01 04:00:00,1,EUR/USD,1.08042,1.08042,1.07967,1.0803,2207,1.6,1.080508,,-0.00011999999999989797,0.0007500000000000284,-0.0005365998075642642,,,,,,,
2023-01-01 05:00:00,1,EUR/USD,1.07981,1.08053,1.07981,1.07998,2972,1.9,1.080396,,0.00017000000000000348,0.0007200000000000539,-0.0002962140146256509,,,,,,,
2023-01-01 06:00:00,1,EUR/USD,1.08023,1.08153,1.08023,1.08087,1534,2.0,1.080514,,0.0006399999999999739,0.0013000000000000789,0.0008240893349877876,,,,,,,
2023-01-01 07:00:00,1,EUR/USD,1.08075,1.0812,1.08061,1.08108,1350,1.1,1.080622,,0.00032999999999994145,0.0005899999999998684,0.00019428793471920613,,,,,,,
2023-01-01 08:00:00,1,EUR/USD,1.08001,1.08116,1.08001,1.08058,3505,0.9,1.080562,,0.0005700000000001815,0.0011499999999999844,-0.00046250046250040366,,,,,,,
2023-01-01 09:00:00,1,EUR/USD,1.08046,1.08048,1.07969,1.08017,4348,0.9,1.080536,,-0.00028999999999990145,0.0007900000000000684,-0.00037942586388794997,,,,,,,
2023-01-01 10:00:00,1,EUR/USD,1.07958,1.07958,1.07908,1.07926,2345,1.2,1.0803920000000002,,-0.00031999999999987594,0.0004999999999999449,-0.0008424599831508006,,,,,,,
2023-01-01 11:00:00,1,EUR/USD,1.07933,1.0797,1.07858,1.07906,3457,1.4,1.08003,,-0.00026999999999999247,0.0011200000000000099,-0.00018531215833084147,,,,,,,
2023-01-01 12:00:00,1,EUR/USD,1.07995,1.07995,1.07926,1.07945,2928,1.4,1.079704,,-0.0004999999999999449,0.0006899999999998574,0.000361425685318828,,,,,,,
2023-01-01 13:00:00,1,EUR/USD,1.08068,1.08136,1.08068,1.08114,5020,1.4,1.0798159999999999,,0.00045999999999990493,0.0006800000000000139,0.0015656121172820114,58.40003988657556,,,,,,
